CMDLINE python C:\Users\2acffb24\Downloads\result\sort_sc.py
MEM 12.437500 1715320849.6722
MEM 12.437500 1715320849.7729
MEM 12.437500 1715320849.8736
MEM 12.437500 1715320849.9742
MEM 12.437500 1715320850.0744
MEM 12.437500 1715320850.1750
MEM 12.437500 1715320850.2755
MEM 12.437500 1715320850.3757
MEM 12.437500 1715320850.4762
MEM 12.437500 1715320850.5769
MEM 12.437500 1715320850.6776
MEM 12.437500 1715320850.7783
MEM 12.437500 1715320850.8788
MEM 12.437500 1715320850.9793
MEM 12.437500 1715320851.0799
MEM 12.437500 1715320851.1805
MEM 12.437500 1715320851.2809
MEM 12.437500 1715320851.3812
MEM 12.437500 1715320851.4817
MEM 12.437500 1715320851.5819
MEM 12.437500 1715320851.6826
MEM 12.437500 1715320851.7830
MEM 12.437500 1715320851.8833
MEM 12.437500 1715320851.9840
MEM 12.437500 1715320852.0845
MEM 12.437500 1715320852.1849
MEM 12.437500 1715320852.2856
MEM 12.437500 1715320852.3860
MEM 12.382812 1715320852.4862
MEM 12.382812 1715320852.5869
MEM 12.382812 1715320852.6873
MEM 12.382812 1715320852.7879
MEM 12.382812 1715320852.8885
MEM 12.382812 1715320852.9891
MEM 12.382812 1715320853.0897
MEM 12.382812 1715320853.1901
MEM 12.382812 1715320853.2908
MEM 12.382812 1715320853.3914
MEM 12.382812 1715320853.4920
MEM 12.382812 1715320853.5928
MEM 12.382812 1715320853.6931
MEM 12.382812 1715320853.7939
MEM 12.382812 1715320853.8946
MEM 12.382812 1715320853.9949
MEM 12.382812 1715320854.0957
MEM 12.382812 1715320854.1962
